currency,rate,date
USD,1.1168,2016-05-24
JPY,122.56,2016-05-24
BGN,1.9558,2016-05-24
CZK,27.025,2016-05-24
DKK,7.4365,2016-05-24
GBP,0.76513,2016-05-24
HUF,316,2016-05-24
PLN,4.4358,2016-05-24
RON,4.5083,2016-05-24
SEK,9.306,2016-05-24
CHF,1.1079,2016-05-24
NOK,9.3355,2016-05-24
HRK,7.495,2016-05-24
RUB,74.4262,2016-05-24
TRY,3.3035,2016-05-24
AUD,1.5597,2016-05-24
BRL,3.9639,2016-05-24
CAD,1.4684,2016-05-24
CNY,7.3226,2016-05-24
HKD,8.6743,2016-05-24
IDR,15278.26,2016-05-24
ILS,4.3129,2016-05-24
INR,75.578,2016-05-24
KRW,1329.32,2016-05-24
MXN,20.5852,2016-05-24
MYR,4.5959,2016-05-24
NZD,1.6604,2016-05-24
PHP,52.267,2016-05-24
SGD,1.5445,2016-05-24
THB,39.914,2016-05-24
ZAR,17.4501,2016-05-24
USD,1.1215,2016-05-23
JPY,122.7,2016-05-23
BGN,1.9558,2016-05-23
CZK,27.033,2016-05-23
DKK,7.4371,2016-05-23
GBP,0.77443,2016-05-23
HUF,317.05,2016-05-23
PLN,4.4367,2016-05-23
RON,4.521,2016-05-23
SEK,9.344,2016-05-23
CHF,1.1105,2016-05-23
NOK,9.3658,2016-05-23
HRK,7.489,2016-05-23
RUB,75.2277,2016-05-23
TRY,3.3495,2016-05-23
AUD,1.5542,2016-05-23
BRL,3.9832,2016-05-23
CAD,1.4745,2016-05-23
CNY,7.3507,2016-05-23
HKD,8.7104,2016-05-23
IDR,15232.77,2016-05-23
ILS,4.3459,2016-05-23
INR,75.7263,2016-05-23
KRW,1329.78,2016-05-23
MXN,20.6021,2016-05-23
MYR,4.5816,2016-05-23
NZD,1.6538,2016-05-23
PHP,52.481,2016-05-23
SGD,1.5478,2016-05-23
THB,39.993,2016-05-23
ZAR,17.5173,2016-05-23
USD,1.1219,2016-05-20
JPY,123.81,2016-05-20
BGN,1.9558,2016-05-20
CZK,27.025,2016-05-20
DKK,7.437,2016-05-20
GBP,0.77008,2016-05-20
HUF,316.78,2016-05-20
PLN,4.4203,2016-05-20
RON,4.5058,2016-05-20
SEK,9.3588,2016-05-20
CHF,1.1123,2016-05-20
NOK,9.3355,2016-05-20
HRK,7.4865,2016-05-20
RUB,74.9139,2016-05-20
TRY,3.3476,2016-05-20
AUD,1.5519,2016-05-20
BRL,3.9797,2016-05-20
CAD,1.4704,2016-05-20
CNY,7.3456,2016-05-20
HKD,8.7141,2016-05-20
IDR,15285.95,2016-05-20
ILS,4.3523,2016-05-20
INR,75.6975,2016-05-20
KRW,1332.02,2016-05-20
MXN,20.6541,2016-05-20
MYR,4.5785,2016-05-20
NZD,1.6578,2016-05-20
PHP,52.477,2016-05-20
SGD,1.5499,2016-05-20
THB,40.085,2016-05-20
ZAR,17.6669,2016-05-20
USD,1.1197,2016-05-19
JPY,123.17,2016-05-19
BGN,1.9558,2016-05-19
CZK,27.023,2016-05-19
DKK,7.4366,2016-05-19
GBP,0.76585,2016-05-19
HUF,316.62,2016-05-19
PLN,4.3928,2016-05-19
RON,4.5043,2016-05-19
SEK,9.3709,2016-05-19
CHF,1.1089,2016-05-19
NOK,9.3593,2016-05-19
HRK,7.489,2016-05-19
RUB,74.5356,2016-05-19
TRY,3.3527,2016-05-19
AUD,1.5563,2016-05-19
BRL,4.0146,2016-05-19
CAD,1.4679,2016-05-19
CNY,7.3318,2016-05-19
HKD,8.6967,2016-05-19
IDR,15245.16,2016-05-19
ILS,4.3208,2016-05-19
INR,75.5418,2016-05-19
KRW,1333.5,2016-05-19
MXN,20.6779,2016-05-19
MYR,4.5808,2016-05-19
NZD,1.6614,2016-05-19
PHP,52.447,2016-05-19
SGD,1.545,2016-05-19
THB,39.973,2016-05-19
ZAR,17.7453,2016-05-19
USD,1.1279,2016-05-18
JPY,123.38,2016-05-18
BGN,1.9558,2016-05-18
CZK,27.022,2016-05-18
DKK,7.4373,2016-05-18
GBP,0.77485,2016-05-18
HUF,316.05,2016-05-18
PLN,4.3885,2016-05-18
RON,4.499,2016-05-18
SEK,9.3525,2016-05-18
CHF,1.1086,2016-05-18
NOK,9.2785,2016-05-18
HRK,7.488,2016-05-18
RUB,73.7809,2016-05-18
TRY,3.3659,2016-05-18
AUD,1.5521,2016-05-18
BRL,3.9891,2016-05-18
CAD,1.4637,2016-05-18
CNY,7.3714,2016-05-18
HKD,8.7575,2016-05-18
IDR,15101.45,2016-05-18
ILS,4.3277,2016-05-18
INR,75.546,2016-05-18
KRW,1340.31,2016-05-18
MXN,20.7883,2016-05-18
MYR,4.5697,2016-05-18
NZD,1.6666,2016-05-18
PHP,52.624,2016-05-18
SGD,1.5539,2016-05-18
THB,40.165,2016-05-18
ZAR,17.9156,2016-05-18
USD,1.1318,2016-05-17
JPY,123.93,2016-05-17
BGN,1.9558,2016-05-17
CZK,27.022,2016-05-17
DKK,7.4386,2016-05-17
GBP,0.7815,2016-05-17
HUF,315.25,2016-05-17
PLN,4.3621,2016-05-17
RON,4.4865,2016-05-17
SEK,9.3513,2016-05-17
CHF,1.108,2016-05-17
NOK,9.2558,2016-05-17
HRK,7.4928,2016-05-17
RUB,73.37,2016-05-17
TRY,3.3575,2016-05-17
AUD,1.5457,2016-05-17
BRL,3.9451,2016-05-17
CAD,1.4631,2016-05-17
CNY,7.3867,2016-05-17
HKD,8.7849,2016-05-17
IDR,15074.64,2016-05-17
ILS,4.323,2016-05-17
INR,75.6285,2016-05-17
KRW,1331.66,2016-05-17
MXN,20.7275,2016-05-17
MYR,4.5481,2016-05-17
NZD,1.6651,2016-05-17
PHP,52.581,2016-05-17
SGD,1.5501,2016-05-17
THB,40.168,2016-05-17
ZAR,17.6561,2016-05-17
USD,1.1324,2016-05-16
JPY,123.27,2016-05-16
BGN,1.9558,2016-05-16
CZK,27.023,2016-05-16
DKK,7.4385,2016-05-16
GBP,0.788,2016-05-16
HUF,315.5,2016-05-16
PLN,4.3718,2016-05-16
RON,4.4876,2016-05-16
SEK,9.337,2016-05-16
CHF,1.1059,2016-05-16
NOK,9.237,2016-05-16
HRK,7.4965,2016-05-16
RUB,73.5759,2016-05-16
TRY,3.376,2016-05-16
AUD,1.5526,2016-05-16
BRL,3.9999,2016-05-16
CAD,1.4634,2016-05-16
CNY,7.3865,2016-05-16
HKD,8.791,2016-05-16
IDR,15069.75,2016-05-16
ILS,4.318,2016-05-16
INR,75.694,2016-05-16
KRW,1335.9,2016-05-16
MXN,20.6176,2016-05-16
MYR,4.5639,2016-05-16
NZD,1.6657,2016-05-16
PHP,52.652,2016-05-16
SGD,1.5511,2016-05-16
THB,40.064,2016-05-16
ZAR,17.631,2016-05-16
USD,1.1348,2016-05-13
JPY,123.56,2016-05-13
BGN,1.9558,2016-05-13
CZK,27.021,2016-05-13
DKK,7.4398,2016-05-13
GBP,0.78758,2016-05-13
HUF,315.17,2016-05-13
PLN,4.3929,2016-05-13
RON,4.4975,2016-05-13
SEK,9.3285,2016-05-13
CHF,1.1024,2016-05-13
NOK,9.2678,2016-05-13
HRK,7.502,2016-05-13
RUB,74.0697,2016-05-13
TRY,3.3639,2016-05-13
AUD,1.5579,2016-05-13
BRL,3.9559,2016-05-13
CAD,1.4619,2016-05-13
CNY,7.4001,2016-05-13
HKD,8.8097,2016-05-13
IDR,15112.7,2016-05-13
ILS,4.2824,2016-05-13
INR,75.7825,2016-05-13
KRW,1330.91,2016-05-13
MXN,20.4831,2016-05-13
MYR,4.5731,2016-05-13
NZD,1.6692,2016-05-13
PHP,52.933,2016-05-13
SGD,1.5552,2016-05-13
THB,40.206,2016-05-13
ZAR,17.2132,2016-05-13
USD,1.1389,2016-05-12
JPY,124.5,2016-05-12
BGN,1.9558,2016-05-12
CZK,27.023,2016-05-12
DKK,7.4407,2016-05-12
GBP,0.78888,2016-05-12
HUF,314.91,2016-05-12
PLN,4.4193,2016-05-12
RON,4.4998,2016-05-12
SEK,9.2945,2016-05-12
CHF,1.1063,2016-05-12
NOK,9.232,2016-05-12
HRK,7.503,2016-05-12
RUB,73.743,2016-05-12
TRY,3.3569,2016-05-12
AUD,1.5541,2016-05-12
BRL,3.9419,2016-05-12
CAD,1.4594,2016-05-12
CNY,7.4242,2016-05-12
HKD,8.8378,2016-05-12
IDR,15131.14,2016-05-12
ILS,4.2833,2016-05-12
INR,75.929,2016-05-12
KRW,1331.57,2016-05-12
MXN,20.3883,2016-05-12
MYR,4.5704,2016-05-12
NZD,1.6724,2016-05-12
PHP,53.015,2016-05-12
SGD,1.562,2016-05-12
THB,40.266,2016-05-12
ZAR,17.0732,2016-05-12
USD,1.1409,2016-05-11
JPY,124.09,2016-05-11
BGN,1.9558,2016-05-11
CZK,27.022,2016-05-11
DKK,7.4409,2016-05-11
GBP,0.78958,2016-05-11
HUF,315.3,2016-05-11
PLN,4.4244,2016-05-11
RON,4.4915,2016-05-11
SEK,9.292,2016-05-11
CHF,1.1099,2016-05-11
NOK,9.3475,2016-05-11
HRK,7.5218,2016-05-11
RUB,75.0267,2016-05-11
TRY,3.3801,2016-05-11
AUD,1.5474,2016-05-11
BRL,3.9517,2016-05-11
CAD,1.4686,2016-05-11
CNY,7.4212,2016-05-11
HKD,8.8542,2016-05-11
IDR,15155.05,2016-05-11
ILS,4.295,2016-05-11
INR,75.9935,2016-05-11
KRW,1332.79,2016-05-11
MXN,20.5313,2016-05-11
MYR,4.6035,2016-05-11
NZD,1.6763,2016-05-11
PHP,53.055,2016-05-11
SGD,1.561,2016-05-11
THB,40.228,2016-05-11
ZAR,17.2737,2016-05-11
USD,1.1375,2016-05-10
JPY,124.12,2016-05-10
BGN,1.9558,2016-05-10
CZK,27.023,2016-05-10
DKK,7.4396,2016-05-10
GBP,0.7876,2016-05-10
HUF,314.5,2016-05-10
PLN,4.4201,2016-05-10
RON,4.4885,2016-05-10
SEK,9.2778,2016-05-10
CHF,1.1079,2016-05-10
NOK,9.352,2016-05-10
HRK,7.5034,2016-05-10
RUB,75.6404,2016-05-10
TRY,3.345,2016-05-10
AUD,1.5486,2016-05-10
BRL,3.9647,2016-05-10
CAD,1.4744,2016-05-10
CNY,7.413,2016-05-10
HKD,8.8299,2016-05-10
IDR,15138.32,2016-05-10
ILS,4.3042,2016-05-10
INR,75.8435,2016-05-10
KRW,1334.99,2016-05-10
MXN,20.623,2016-05-10
MYR,4.6196,2016-05-10
NZD,1.6884,2016-05-10
PHP,53.126,2016-05-10
SGD,1.5577,2016-05-10
THB,40.074,2016-05-10
ZAR,17.3215,2016-05-10
USD,1.1395,2016-05-09
JPY,123.39,2016-05-09
BGN,1.9558,2016-05-09
CZK,27.022,2016-05-09
DKK,7.4393,2016-05-09
GBP,0.78998,2016-05-09
HUF,315.05,2016-05-09
PLN,4.4142,2016-05-09
RON,4.4905,2016-05-09
SEK,9.273,2016-05-09
CHF,1.1053,2016-05-09
NOK,9.333,2016-05-09
HRK,7.4793,2016-05-09
RUB,75.1908,2016-05-09
TRY,3.3446,2016-05-09
AUD,1.5544,2016-05-09
BRL,3.9971,2016-05-09
CAD,1.4743,2016-05-09
CNY,7.4207,2016-05-09
HKD,8.8455,2016-05-09
IDR,15135.96,2016-05-09
ILS,4.3089,2016-05-09
INR,75.896,2016-05-09
KRW,1337.36,2016-05-09
MXN,20.432,2016-05-09
MYR,4.5854,2016-05-09
NZD,1.6746,2016-05-09
PHP,53.832,2016-05-09
SGD,1.5572,2016-05-09
THB,40.059,2016-05-09
ZAR,17.2127,2016-05-09
USD,1.1427,2016-05-06
JPY,122.23,2016-05-06
BGN,1.9558,2016-05-06
CZK,27.021,2016-05-06
DKK,7.439,2016-05-06
GBP,0.7885,2016-05-06
HUF,313.68,2016-05-06
PLN,4.4198,2016-05-06
RON,4.5005,2016-05-06
SEK,9.2753,2016-05-06
CHF,1.107,2016-05-06
NOK,9.3513,2016-05-06
HRK,7.502,2016-05-06
RUB,75.9135,2016-05-06
TRY,3.3363,2016-05-06
AUD,1.5501,2016-05-06
BRL,4.065,2016-05-06
CAD,1.4717,2016-05-06
CNY,7.43,2016-05-06
HKD,8.8678,2016-05-06
IDR,15276.76,2016-05-06
ILS,4.3191,2016-05-06
INR,76.141,2016-05-06
KRW,1339.64,2016-05-06
MXN,20.5185,2016-05-06
MYR,4.5845,2016-05-06
NZD,1.6702,2016-05-06
PHP,53.884,2016-05-06
SGD,1.5526,2016-05-06
THB,40.189,2016-05-06
ZAR,17.0959,2016-05-06
USD,1.1439,2016-05-05
JPY,122.51,2016-05-05
BGN,1.9558,2016-05-05
CZK,27.028,2016-05-05
DKK,7.4401,2016-05-05
GBP,0.7886,2016-05-05
HUF,312.84,2016-05-05
PLN,4.4234,2016-05-05
RON,4.5035,2016-05-05
SEK,9.2575,2016-05-05
CHF,1.1018,2016-05-05
NOK,9.2985,2016-05-05
HRK,7.515,2016-05-05
RUB,75.0559,2016-05-05
TRY,3.3166,2016-05-05
AUD,1.5266,2016-05-05
BRL,4.0282,2016-05-05
CAD,1.4665,2016-05-05
CNY,7.441,2016-05-05
HKD,8.8775,2016-05-05
IDR,15260.95,2016-05-05
ILS,4.3221,2016-05-05
INR,76.0745,2016-05-05
KRW,1333.95,2016-05-05
MXN,20.2155,2016-05-05
MYR,4.5819,2016-05-05
NZD,1.6577,2016-05-05
PHP,54.171,2016-05-05
SGD,1.5531,2016-05-05
THB,40.191,2016-05-05
ZAR,17.0751,2016-05-05
USD,1.1505,2016-05-04
JPY,122.62,2016-05-04
BGN,1.9558,2016-05-04
